met mart sdev mreal sdev
Voting 0.9911 0.0435 0.9906 0.0187
AdaBoost	0.9911 0.0019 0.9945 0.0150
Bagging	0.9867 0.0479 0.9887 0.0241
Stacking	0.9911 0.0019 0.9887 0.0241
SVM	0.9911 0.0435 0.9906 0.0187
KNN	0.9911 0.0435 0.9906 0.0187
Decision-Tree 0.9911 0.0435 0.9888 0.0272
