met mart sdev mreal sdev
Voting 0.0 0.0 0.2 0.4
AdaBoost	0.0 0.0 0.12 0.325
Bagging	0.0 0.0 0.24 0.5122
Stacking	0.0 0.0 0.24 0.5122
SVM	0.0 0.0 0.2 0.4
KNN	0.0 0.0 0.2 0.4
Decision-Tree 0.0 0.0 0.2 0.4
