met mart sdev mreal sdev
Voting 0.9032 3.33E-16 0.9467 6.66E-16
AdaBoost	0.9032 3.33E-16 0.968 0.0173
Bagging	0.8903 0.0353 0.9584 0.0123
Stacking	0.8819 0.0401 0.9581 0.0387
SVM	0.9032 3.33E-16 0.9467 6.66E-16
KNN	0.9032 3.33E-16 0.9467 6.66E-16
Decision-Tree 0.9032 3.33E-16 0.9733 7.77E-16
