met mart sdev mreal sdev
Voting 6.72 0.96 20 1.2329
AdaBoost	6.72 0.96 20 1.2329
Bagging	6.68 1.0088 20 1.2329
Stacking	6.72 0.96 20 1.2329
SVM	6.72 0.96 20 1.2329
KNN	6.72 0.96 20 1.2329
Decision-Tree 6.72 0.96 20 1.2329
